k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.95 b=1 nugget0,GC a=0.95 b=0.5 nugget0,GC a=1 b=1 nugget0,GC a=1 b=0.5 nugget0
0,0.5729,4.7017,2.8862,2.0457,3.5541,2.3950,4.2831,2.7474,5.0669,3.0983,5.8984,3.4439,6.7697,3.7814
1,1.7187,1.1577,1.2604,1.0761,1.4649,1.2188,1.6831,1.3629,1.9144,1.5068,2.1574,1.6494,2.4105,1.7894
2,2.8645,0.6817,0.8867,0.8236,0.9767,0.8982,1.0717,0.9735,1.1716,1.0488,1.2760,1.1235,1.3844,1.1970
3,4.0103,0.7204,0.9152,0.8837,0.9747,0.9414,1.0379,1.0001,1.1050,1.0595,1.1758,1.1191,1.2500,1.1784
4,5.1561,0.6562,0.8041,0.7896,0.8386,0.8274,0.8754,0.8662,0.9151,0.9057,0.9575,0.9457,1.0025,0.9857
5,6.3019,0.7713,0.9148,0.9115,0.9371,0.9411,0.9620,0.9722,0.9900,1.0045,1.0209,1.0378,1.0548,1.0716
10,12.0309,0.9044,0.9265,0.9348,0.9141,0.9333,0.9028,0.9332,0.8938,0.9347,0.8873,0.9380,0.8835,0.9428
15,17.7599,1.0207,1.0016,1.0108,0.9805,0.9998,0.9595,0.9894,0.9397,0.9802,0.9215,0.9724,0.9054,0.9661
20,23.4890,1.1388,1.0950,1.1005,1.0738,1.0874,1.0512,1.0737,1.0286,1.0604,1.0065,1.0479,0.9856,1.0364
25,29.2180,1.1202,1.0772,1.0781,1.0630,1.0692,1.0466,1.0588,1.0290,1.0477,1.0108,1.0366,0.9926,1.0257
30,34.9470,1.1024,1.0676,1.0643,1.0621,1.0615,1.0540,1.0567,1.0438,1.0504,1.0322,1.0432,1.0196,1.0355
35,40.6760,1.0758,1.0527,1.0473,1.0547,1.0500,1.0541,1.0504,1.0513,1.0490,1.0467,1.0463,1.0406,1.0427
40,46.4050,1.0476,1.0355,1.0276,1.0447,1.0359,1.0514,1.0419,1.0559,1.0458,1.0585,1.0482,1.0594,1.0492
45,52.1340,1.0108,1.0070,0.9987,1.0202,1.0101,1.0313,1.0192,1.0405,1.0265,1.0478,1.0321,1.0536,1.0364
50,57.8630,1.0032,1.0072,0.9978,1.0247,1.0126,1.0401,1.0253,1.0538,1.0360,1.0658,1.0452,1.0762,1.0528
55,63.5921,0.9239,0.9321,0.9225,0.9513,0.9386,0.9688,0.9528,0.9848,0.9653,0.9994,0.9764,1.0127,0.9860
60,69.3211,0.9041,0.9161,0.9063,0.9369,0.9237,0.9561,0.9394,0.9740,0.9534,0.9907,0.9660,1.0062,0.9773
65,75.0501,0.8244,0.8402,0.8315,0.8616,0.8494,0.8821,0.8658,0.9018,0.8810,0.9207,0.8951,0.9388,0.9082
69,79.6333,0.8301,0.8480,0.8387,0.8712,0.8581,0.8937,0.8761,0.9155,0.8930,0.9367,0.9088,0.9573,0.9237
