k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
0,0.5729,5.1977,2.6174,1.9734,1.4608
1,1.7187,1.1182,1.0101,0.9014,0.7728
2,2.8645,0.6466,0.7383,0.7107,0.6557
3,4.0103,0.6499,0.7770,0.7710,0.7360
4,5.1561,0.6754,0.7996,0.8025,0.7776
5,6.3019,0.7743,0.8987,0.9099,0.8934
10,12.0309,0.8667,0.9114,0.9265,0.9250
15,17.7599,1.0230,1.0261,1.0377,1.0374
20,23.4890,1.1119,1.0910,1.0976,1.0963
25,29.2180,1.0966,1.0685,1.0703,1.0672
30,34.9470,1.1051,1.0761,1.0740,1.0689
35,40.6760,1.0859,1.0612,1.0568,1.0512
40,46.4050,1.0625,1.0421,1.0355,1.0284
45,52.1340,1.0077,0.9919,0.9849,0.9783
50,57.8630,1.0078,0.9958,0.9880,0.9808
55,63.5921,0.9256,0.9170,0.9091,0.9018
60,69.3211,0.9228,0.9161,0.9079,0.9005
65,75.0501,0.8350,0.8312,0.8235,0.8174
69,79.6333,0.8617,0.8592,0.8509,0.8442
