full,vecc_inter,vecc_extra,full-vecc_inter,full-vecc_extra
14257.319,14233.447,14332.837,23.87207,-75.51758
12877.236,12867.427,12949.4,9.80957,-72.16406
15105.671,15112.495,15198.854,-6.8242188,-93.18262
15057.407,15024.938,15142.105,32.46875,-84.69824
12729.295,12719.305,12799.255,9.990234,-69.95996
14974.811,14911.461,15026.632,63.34961,-51.82129
15914.439,15905.117,15964.356,9.322266,-49.916992
15345.43,15299.767,15427.701,45.663086,-82.271484
13209.886,13204.401,13292.492,5.484375,-82.606445
15197.731,15179.452,15288.105,18.279297,-90.37402
13394.018,13358.698,13453.695,35.319336,-59.677734
12367.97,12354.931,12420.804,13.0390625,-52.833984
12334.455,12334.198,12398.205,0.25683594,-63.75
13388.797,13357.456,13426.342,31.34082,-37.54492
11979.054,11971.41,12037.568,7.6435547,-58.51465
12619.898,12600.382,12677.345,19.516602,-57.44629
14524.198,14494.066,14582.043,30.131836,-57.844727
13897.533,13883.741,13965.368,13.791992,-67.83496
13206.887,13188.489,13267.975,18.39746,-61.08789
13289.11,13276.595,13340.859,12.515625,-51.749023
13417.07,13425.823,13504.782,-8.75293,-87.711914
13321.848,13321.367,13379.887,0.48046875,-58.039062
11662.559,11667.87,11710.672,-5.3115234,-48.11328
12236.074,12234.279,12310.165,1.7949219,-74.09082
11077.486,11078.632,11148.504,-1.1455078,-71.01758
11703.971,11689.076,11763.364,14.894531,-59.393555
12463.498,12437.096,12517.367,26.402344,-53.86914
12985.387,12959.564,13042.633,25.822266,-57.246094
13388.154,13363.384,13439.973,24.770508,-51.81836
13491.634,13471.905,13552.401,19.728516,-60.76758
15753.032,15699.134,15787.982,53.898438,-34.950195
