sigmasq,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss
24.793444,1.5845289,1.7182478,0.009088504,-0.10729945,0.13103764,2.7172387,14068.529296875
24.424301,1.9970553,1.9426829,0.043587998,-0.07267851,0.13712448,1.5131481,12357.7158203125
26.009497,1.2152357,1.5588678,0.023392243,-0.15054813,0.19985,2.8906782,14948.140625
24.701347,1.6123079,1.8229597,-0.16406873,-0.23744325,0.13159464,3.636499,14786.2041015625
22.598671,2.9011853,3.722327,-0.011728579,-0.15207201,0.07286603,2.397249,12096.26171875
25.594908,1.702692,2.2551742,0.01746178,-0.15812464,0.098684,3.8502054,14690.248046875
26.03051,1.2610838,2.8319519,0.054831143,-0.34325472,0.10304542,4.596346,15342.4599609375
26.043682,0.99527854,1.6295031,-0.019824399,-0.41162625,0.16429645,2.751402,14857.1953125
24.05207,1.377774,2.3577209,0.021439344,-0.22031645,0.14284703,1.6754572,12666.9912109375
25.76611,1.3920515,2.3581715,0.02668378,-0.07736578,0.15064833,3.8212185,14987.76953125
23.945438,1.4903331,2.4707623,-0.009915113,0.027428646,0.13795888,2.0662642,13000.419921875
23.036034,2.2999976,3.3469553,-0.054280803,0.11497638,0.11015477,1.6048981,11485.49609375
22.79096,2.0725179,3.6167226,-0.13020566,0.07694413,0.13562849,1.4418949,11315.873046875
24.079025,2.077914,2.5786538,-0.035027582,0.072090924,0.14471975,2.4057994,13138.958984375
22.556171,3.0479488,3.8217216,-0.05107336,0.067157745,0.109084465,1.4626306,10808.830078125
23.403471,2.8880165,3.0568988,-0.004252594,0.0058450173,0.10476116,2.01967,12012.943359375
24.978308,1.3711593,2.2365801,-0.068871014,-0.12658942,0.13741192,3.0442588,14286.23046875
23.328363,1.2954171,3.3191578,-0.079007454,-0.109865636,0.13140753,2.7379642,13417.033203125
23.913704,1.8241426,2.5031192,0.020212656,0.016006833,0.14254814,2.095682,12876.71484375
23.171667,2.521096,3.5947316,0.032805044,-0.026624171,0.092922516,2.846266,12944.3125
23.972263,2.3289728,3.350626,-0.0021694787,-0.07048926,0.10945373,2.8069508,13142.6533203125
23.484762,1.773483,3.144358,0.10679988,-0.14614995,0.17016509,2.2921789,12951.943359375
22.39994,2.5253465,3.9458892,-0.004455453,0.07378514,0.1448578,1.3409973,10006.291015625
22.485428,1.9601767,3.85645,0.042580537,-0.14950156,0.13438195,1.4230655,11153.1171875
22.398106,3.9684513,3.9453075,0.0062298514,-0.013954289,0.047207568,1.3455033,8595.869140625
22.393942,2.5440354,3.9438026,-0.0041127712,0.031536225,0.08466123,1.3342783,10097.978515625
22.484076,2.2636802,3.848698,-0.026535599,-0.07051334,0.08516205,1.9536474,11613.490234375
22.687857,1.9153752,3.6159725,-0.024073968,-0.07811778,0.0912933,2.3318021,12408.5341796875
22.40551,2.753298,3.919266,0.0035220713,-0.051619038,0.069306545,3.1814027,12968.927734375
23.82121,2.5058696,3.3784602,-0.030409899,-0.19904709,0.12734008,2.9458804,13282.44921875
24.262573,3.0821724,2.8804638,0.059404816,-0.19054274,0.19751295,5.3030076,15539.53515625
