model,param,n,true,mean,median,bias,RMSRE_mean,RMSRE_median,P10,P90,P90_P10
DW_2110,Overall,30,,,,,0.06774967756754095,0.05687150582013215,0.028126225923000823,0.13232674005977815,0.10420051413677733
DW_2110,sigmasq,30,10.0,10.153962614596955,10.103814647580958,0.1539626145969546,0.0876941637360157,0.05318003830449003,9.180740506597605,11.54549591176199,2.3647554051643844
DW_2110,range_lat,30,0.3,0.30485928941849433,0.3054984014101953,0.004859289418494339,0.09605798109248344,0.06199924222094459,0.2726516304064012,0.3520269658971841,0.07937533549078285
DW_2110,range_lon,30,0.4,0.4058502379893865,0.40337457817475764,0.0058502379893864975,0.09537864457022659,0.07076738407216406,0.3582324872531662,0.45754595348579086,0.09931346623262466
DW_2110,range_time,30,2.0,2.042374161406244,2.031629273838465,0.04237416140624406,0.09312027728662758,0.06299401755540468,1.85067745564618,2.3244649387979126,0.4737874831517326
DW_2110,advec_lat,30,0.08,0.0793483849928876,0.07845065378833026,-0.0006516150071124022,0.06716036721640085,0.05134916929031633,0.07277528093015583,0.08550408913084,0.012728808200684172
DW_2110,advec_lon,30,-0.126,-0.1262736372290025,-0.12562112070335238,-0.00027363722900250464,0.05293501686360265,0.038530275290002455,-0.1341464687075107,-0.11823426337420204,0.01591220533330867
DW_2110,nugget,30,2.5,2.5008208565413317,2.4949246332141275,0.0008208565413316826,0.012913264633892892,0.009795852611190804,2.464418084245969,2.5475006606768673,0.08308257643089823
DW_Gradient,Overall,30,,,,,0.05489132328770618,0.0451388133819832,0.024607318284442875,0.10459003071259013,0.07998271242814725
DW_Gradient,sigmasq,30,10.0,10.053553335160398,9.85969044757854,0.05355333516039806,0.07609890853268847,0.043824591343459035,9.35757832693388,11.040409374539683,1.682831047605804
DW_Gradient,range_lat,30,0.3,0.30148105569081335,0.29857684859402095,0.0014810556908133599,0.08327991770503056,0.028350171824417514,0.2740384054865352,0.34223838490934344,0.06819997942280825
DW_Gradient,range_lon,30,0.4,0.4020615053854482,0.40086969471734935,0.0020615053854481924,0.0816071688475236,0.045132294727250055,0.3646843956938159,0.43780096335070096,0.07311656765688507
DW_Gradient,range_time,30,2.0,2.021744664997526,2.0060184468091546,0.02174466499752592,0.0861214248863373,0.04064683941327907,1.8316184033457434,2.233397619942917,0.40177921659717364
DW_Gradient,advec_lat,30,0.08,0.08002802251806711,0.07983218872899267,2.802251806710565e-05,0.05032192416524402,0.039470775786437824,0.07484846250276933,0.08574176374094034,0.010893301238171005
DW_Gradient,advec_lon,30,-0.126,-0.12683364022817753,-0.1256896390111099,-0.000833640228177529,0.04273326048491343,0.02790759640013113,-0.13266281584814607,-0.12064445163544257,0.012018364212703497
DW_Gradient,nugget,30,2.5,2.4971512624932606,2.4947059034448698,-0.0028487375067394183,0.010565969620150328,0.009032010729868922,2.4601831393860194,2.5291407018757996,0.06895756248978024
DW_Lat1,Overall,30,,,,,0.06429906006141212,0.05285292044882264,0.03553503840717217,0.10053108136527183,0.06499604295809966
DW_Lat1,sigmasq,30,10.0,10.159106476232227,9.962704455561859,0.1591064762322265,0.08424071006788743,0.05634938076228311,9.263982201237845,11.183003518781952,1.9190213175441073
DW_Lat1,range_lat,30,0.3,0.30546682748479437,0.30292736488526983,0.005466827484794379,0.09268546500981187,0.05109662264392375,0.2750230194453005,0.3366294973372122,0.061606477891911704
DW_Lat1,range_lon,30,0.4,0.40704055711276105,0.4053628325696462,0.007040557112761026,0.08940903966825474,0.06157068155364327,0.36702590707467003,0.45221824947218203,0.085192342397512
DW_Lat1,range_time,30,2.0,2.045744429241032,2.0531861905727506,0.04574442924103206,0.08543007038699003,0.05895513927837248,1.8279192098940182,2.2266306083608662,0.398711398466848
DW_Lat1,advec_lat,30,0.08,0.07935514306639044,0.07855527464593719,-0.0006448569336095639,0.06706059568558152,0.05726645217858841,0.07184101483792027,0.08531831739075767,0.013477302552837397
DW_Lat1,advec_lon,30,-0.126,-0.1261988727635129,-0.1242564311062902,-0.0001988727635129084,0.053137214026414616,0.04264518779045745,-0.13564380132355489,-0.11876577258717039,0.0168780287363845
DW_Lat1,nugget,30,2.5,2.502666864911794,2.4963063599560673,0.002666864911793798,0.013261435865231992,0.008314122119484235,2.4645607110382604,2.5480265957608306,0.08346588472257022
