Day,DW_Est_SigmaSq,DW_SE_SigmaSq,DW_Est_RangeLat,DW_SE_RangeLat,DW_Est_RangeLon,DW_SE_RangeLon,DW_Est_RangeTime,DW_SE_RangeTime,DW_Est_AdvecLat,DW_SE_AdvecLat,DW_Est_AdvecLon,DW_SE_AdvecLon,DW_Est_Nugget,DW_SE_Nugget,VC_Est_SigmaSq,VC_SE_SigmaSq,VC_Est_RangeLat,VC_SE_RangeLat,VC_Est_RangeLon,VC_SE_RangeLon,VC_Est_RangeTime,VC_SE_RangeTime,VC_Est_AdvecLat,VC_SE_AdvecLat,VC_Est_AdvecLon,VC_SE_AdvecLon,VC_Est_Nugget,VC_SE_Nugget
1,5.8797,0.0575,0.1799,0.0019,0.1867,0.0019,1.0234,0.0502,-0.0072,0.0068,0.0834,0.0285,0.0,0.0,11.8126,0.3454,0.2605,0.0079,0.2695,0.0085,1.4541,0.2778,-0.0243,0.0102,-0.2014,0.0203,0.0,0.0
2,12.2788,0.5573,0.2031,0.0097,0.23,0.0107,1.508,0.175,0.0043,0.0148,-0.2981,0.0155,0.0,0.0,14.8565,0.7073,0.2048,0.01,0.2283,0.0113,1.6022,0.5342,-0.0299,0.0062,-0.2392,0.0155,0.0,0.0
3,14.4489,5.9696,0.1573,0.0725,0.1794,0.0817,1.4713,0.7106,-0.0657,0.008,-0.3113,0.0078,0.0479,0.001,12.793,0.4889,0.1851,0.0073,0.1919,0.0077,1.4034,0.4782,-0.0673,0.0067,-0.251,0.0187,0.0,0.0
4,12.1241,0.6695,0.1391,0.0088,0.1661,0.0105,1.4284,0.1065,0.0312,0.004,-0.1897,0.0042,0.0,0.0,12.4523,0.4756,0.1978,0.0076,0.2323,0.0092,1.7592,0.4114,0.0138,0.0024,-0.1576,0.0063,0.0,0.0
5,13.5533,0.9942,0.1622,0.0127,0.2153,0.0166,1.3705,0.1232,0.0695,0.006,-0.2882,0.0189,0.0,0.0,13.3756,0.5234,0.19,0.0078,0.2065,0.0085,1.4451,0.3711,0.0488,0.0039,-0.2055,0.0141,0.0,0.0
6,14.1278,1.1035,0.1792,0.0153,0.2059,0.0172,1.1211,0.1006,0.0606,0.0186,-0.0003,0.0087,0.0,0.0,13.9713,0.6764,0.2225,0.0112,0.2319,0.0119,1.4924,0.4377,0.0294,0.0112,-0.2898,0.0571,0.0,0.0
7,13.7018,0.6061,0.2332,0.0102,0.3097,0.0139,1.3192,0.0911,-0.0108,0.0126,0.114,0.0193,0.0,0.0,15.2056,0.6987,0.2377,0.0114,0.2902,0.0141,1.7234,0.4922,0.0061,0.0083,-0.3597,0.064,0.0,0.0
8,11.2629,0.2513,0.1931,0.0044,0.1667,0.0039,0.8886,0.0973,-0.0811,0.038,-0.3578,0.0282,0.0,0.0,14.7837,0.5568,0.2668,0.0104,0.238,0.0095,1.3821,0.3452,-0.0389,0.0239,-0.3379,0.033,0.0,0.0
9,9.1207,0.5829,0.2225,0.0148,0.2216,0.0151,1.3027,0.1856,0.0587,0.0483,-0.2056,0.1611,0.0,0.0,7.8632,0.2546,0.1759,0.0084,0.1837,0.0083,1.0497,0.2493,0.0287,0.0118,-0.2806,0.0464,0.1735,0.0411
10,3.7184,0.0638,0.1832,0.0033,0.2396,0.0041,0.8905,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,5.454,0.1145,0.1851,0.0041,0.1925,0.0044,0.9841,0.0558,-0.0031,0.0051,-0.0384,0.024,0.0,0.0
11,4.8483,0.0942,0.2903,0.0056,0.2231,0.0046,1.1223,0.0525,-0.0015,0.005,0.0468,0.0211,0.0,0.0,6.6381,0.1505,0.2434,0.0059,0.2435,0.006,1.1391,0.0644,-0.0076,0.0052,-0.0462,0.0183,0.0,0.0
12,6.2018,0.572,0.1635,0.0159,0.169,0.0162,0.7698,0.6372,0.0477,0.1382,0.072,0.2033,0.0,0.0,9.8188,0.2213,0.2318,0.0054,0.2519,0.0059,1.4464,0.0454,-0.0017,0.0052,0.005,0.0049,0.0,0.0
13,6.5448,1.6596,0.1731,0.0475,0.1751,0.0486,1.1389,0.3513,-0.0049,0.0033,0.0115,0.0083,0.0,0.0,10.0965,0.3297,0.3101,0.0102,0.3089,0.0098,1.3474,0.0491,-0.0129,0.0053,0.0003,0.0098,0.0,0.0
14,5.5388,0.1409,0.2039,0.0057,0.1694,0.0051,1.0802,0.0427,-0.0074,0.0064,-0.19,0.0352,0.0,0.0,8.214,0.1986,0.2263,0.0057,0.2479,0.0062,1.3939,0.0489,0.0017,0.0043,-0.0228,0.0103,0.0,0.0
15,6.066,0.2828,0.1488,0.0077,0.1443,0.0074,0.9346,0.0818,0.0,0.0,-0.0,0.0,0.0,0.0,9.9037,0.2464,0.2187,0.0057,0.2426,0.0061,1.5731,0.0467,-0.0021,0.0026,0.0001,0.0026,0.0,0.0
16,10.7018,1.2167,0.1737,0.0226,0.1621,0.0223,0.8547,0.7414,-0.0675,0.2596,-0.256,0.1055,0.0,0.0,10.0282,0.2208,0.2201,0.0052,0.2419,0.0058,1.2873,0.0483,-0.02,0.0034,-0.0031,0.0063,0.0,0.0
17,6.1221,0.2143,0.1016,0.0046,0.0867,0.0049,0.7918,0.0407,-0.0,,-0.0,0.0,0.0,0.0,7.5728,0.2587,0.1606,0.0057,0.1662,0.0058,1.3558,0.0547,-0.0008,0.003,0.0039,0.0027,0.0,0.0
18,5.0355,0.0437,0.0998,0.001,0.0882,0.001,0.7903,0.0079,-0.0,0.0,-0.0,0.0,0.0,0.0,8.7457,0.2164,0.1997,0.0053,0.201,0.0054,1.2479,0.0415,0.0066,0.0037,-0.0042,0.0034,0.0,0.0
19,5.6412,0.1115,0.1705,0.0035,0.1738,0.0037,0.8344,0.0249,0.0034,0.007,-0.3406,0.0345,0.0,0.0,8.5747,0.1734,0.1943,0.0042,0.2173,0.0046,1.3036,0.0386,-0.0017,0.0031,-0.0136,0.0051,0.0,0.0
20,7.6268,0.3159,0.137,0.0067,0.1595,0.0075,0.8557,0.1058,0.0499,0.0285,-0.3537,0.0142,0.0,0.0,8.8731,0.1619,0.1881,0.0037,0.2022,0.0041,0.9892,0.0462,0.0068,0.005,-0.0308,0.0098,0.0,0.0
21,5.8285,0.2014,0.1445,0.0058,0.1374,0.0056,0.6199,0.0493,-0.0,0.0,0.0,0.0,0.0,0.0,6.6295,0.7582,0.165,0.0207,0.1725,0.0215,0.7518,0.1436,0.0057,0.012,-0.2209,0.4008,0.0,0.0
22,10.5937,0.7376,0.1862,0.0136,0.2131,0.016,1.0989,0.1896,0.0202,0.0368,-0.2156,0.3008,0.0,0.0,9.512,0.1771,0.1875,0.0039,0.2068,0.0045,0.8026,0.0821,0.0126,0.0051,-0.0592,0.0125,0.0,0.0
23,10.9494,5.0505,0.1608,0.0806,0.17,0.0851,1.0177,0.6295,0.0331,0.0096,-0.0123,0.0085,0.0,0.0,8.7881,0.1761,0.18,0.004,0.1827,0.0041,1.1211,0.0667,0.0014,0.0038,-0.0507,0.0178,0.0,0.0
24,4.7101,0.0789,0.1355,0.0026,0.1659,0.003,0.7019,0.0439,-0.0737,0.0598,-0.0743,0.0572,0.0,0.0,7.3508,0.1563,0.1769,0.004,0.2276,0.005,0.937,0.0434,-0.0463,0.0049,-0.0418,0.0166,0.0,0.0
25,9.3866,0.1922,0.1881,0.0038,0.2483,0.0053,1.1499,0.0533,0.0164,0.0135,-0.2589,0.0671,0.0,0.0,10.5793,0.2066,0.1986,0.0042,0.2921,0.0058,1.0436,0.0479,-0.0142,0.0058,-0.0533,0.0144,0.0,0.0
26,6.6204,0.0669,0.1199,0.0012,0.13,0.0015,0.7766,0.0108,-0.0,0.0,0.0,0.0,0.0,0.0,9.5892,0.2188,0.147,0.0035,0.182,0.0043,0.9519,0.0288,0.0092,0.0037,-0.0324,0.0076,0.0,0.0
27,5.3354,0.59,0.1586,0.0186,0.1671,0.0204,1.2095,0.1766,-0.0,0.0,-0.0,0.0,0.0,0.0,7.1615,0.2482,0.1436,0.0052,0.1891,0.0067,1.4222,0.0579,0.0027,0.0025,-0.0049,0.0021,0.0,0.0
28,5.6528,2.2802,0.1019,0.0487,0.1027,0.0506,0.9872,0.5599,0.0,,0.0,0.0,0.0,0.0,7.9939,0.2173,0.1723,0.0048,0.2061,0.0055,1.6411,0.0529,0.0048,0.0037,-0.0013,0.0022,0.0,0.0
